Scratch_Weights,Transfer_Weights
0.14055823,-0.051161263
0.029872958,-0.063859574
-0.0045999303,0.36627063
-0.02171234,0.031180717
0.041395452,-0.3250742
0.122619726,0.27276486
-0.103803374,0.016340282
0.12634668,-0.28324756
-0.034672987,0.11036662
0.042963527,-0.1023009
0.0048807845,-0.22513911
0.04561973,0.4718943
-0.005840579,0.02776273
-0.049589176,-0.4344606
0.19043995,0.40028483
-0.11010103,0.04106744
-0.1227186,-0.35732093
-0.045705948,0.055504784
0.019985806,-0.09181406
0.035153024,-0.033817098
-0.1004371,0.29405436
-0.14800069,0.01043809
0.0762137,-0.27161434
0.07694055,0.21596052
0.16971195,0.01198777
0.103698485,-0.17146645
-0.07669702,0.32665598
0.08326603,0.1567078
0.051631045,0.06586424
-0.19180027,0.18697475
0.09095939,-0.09560021
-0.09845605,-0.09401077
-0.047935136,0.122537315
-0.08951527,-0.055917576
-0.11727875,-0.06119099
-0.10826162,0.25442302
0.18222016,0.0071147047
0.08188594,-0.096991256
0.035235636,0.074458055
-0.02185084,-0.32500544
-0.11935751,-0.3215391
0.083538875,-0.002961522
0.042237118,-0.27468115
-0.12777974,-0.2497917
0.14975572,0.13886863
-0.031567395,0.0014895152
-0.108048074,-0.002100872
0.017484318,0.0048558027
-0.08029735,-0.18442395
-0.07132723,-0.15752639
0.17588912,0.04792805
-0.021368006,-0.11734822
-0.07438097,-0.12622648
0.037865438,-0.05355792
-0.09139542,-0.25140417
-0.0006813726,-0.33377212
-0.14158891,-0.039370287
0.09060535,-0.2243468
-0.013050419,-0.26778582
-0.081280366,0.12670718
-0.15174212,-0.06033928
-0.1043351,-0.06492402
0.0802394,0.1042385
-0.14414155,-0.0895395
0.10793121,-0.17165123
-0.13372639,0.14367178
0.16186263,-0.017553
-0.18552719,-0.05871847
0.037859242,0.24823077
-0.12681259,0.11537317
0.029185528,0.10321497
-0.06711566,0.070559114
0.19165534,0.046375185
-0.022385934,0.044279728
0.14093085,0.027679404
-0.13398258,-0.0049156193
